xx
xx,#genre#
松視1台,p3p://108.181.32.169:24652/650b87f1000d765a8f12ea107fd81201
松視2台,p3p://108.181.32.169:24652/650b8a51000ac6568f1c30530c503d72
松視3台,p3p://108.181.32.169:24652/650b8a0e000007df8f1b27da75d42f65
HAPPY,p3p://108.181.32.169:24652/650b8915000b1a1b8f175e0765017f8a
彩虹K,p3p://108.181.32.169:24652/650b896a000407bf8f18a840011e789a
玩美台,p3p://108.181.32.169:24652/650b8a9900047f038f1d47f730bd5b7c
ATV,p3p://108.181.32.169:24652/650b8ae60005f36b8f1e751f68bd1c14
ATV,p3p://108.181.32.169:24652/650b8b37000c4e8a8f1fb328756e4077
潘多拉粉红台,p3p://108.181.32.169:24652/641a800b00087defc0dde7672f891ee4
极限台HOT,p3p://108.181.32.169:24652/650b8b700004037d8f208fb144ea7e3f
彩虹电影,p3p://108.181.32.169:24652/650b89c6000280318f1a0f3c30b74958
彩虹E,p3p://108.181.32.169:24652/641a802000061354c0de38d050782a5d
松视3台,p3p://108.181.32.169:24652/650b8a0e000007df8f1b27da75d42f65.ts
GayVN Awards,p3p://fccsen.dyndns.tv:29706/62d721b700012a9e892c441a509d4099
